,,,,,,,,
Story Link,TC ID,Test Case (Title),Pre Condition,Steps,Expected Result,Execution Result,Bug?,Prioridade
MUN-12,TC002,Inserir CNPJ inválido,Usuário autenticado,"1. Inserir CNPJ com formato incorreto (ex: “1234567890001”)
2. Clicar em Salvar",O sistema deve exibir mensagem “CNPJ incorreto” em vermelho,FAILED,Link do jira,ALTA
MUN-12,TC003,Inserir e-mail comercial inválido,Usuário autenticado,"1. Digitar um e-mail com formato incorreto (ex: “loja@com”)
2. Clicar em Salvar",O sistema deve exibir mensagem “E-mail incorreto” abaixo do campo,FAILED,Link do jira,ALTA
MUN-12,TC004,Inserir telefone com formato incorreto,Usuário autenticado,"1. Digitar telefone fora do padrão (ex: “1234”)
2. Clicar em Salvar",O sistema deve exibir mensagem “Telefone incorreto” em vermelho,FAILED,Link do jira,ALTA
MUN-12,TC005,Inserir telefone além do limite de caracteres(13),Usuário autenticado,"1.Digitar telefone além do limite de caracteres
2.Clicar em Salvar","O sistema deve exibir a mensagem ""Formato de telefone inválido"" em vermelho",FAILED,Link do jira,ALTA
MUN-12,TC007,Cadastrar loja com CNPJ já existente,Usuário autenticado,"1. Inserir CNPJ de uma loja já cadastrada
2. Clicar em Salvar",O sistema deve exibir mensagem “CNPJ já cadastrado” e impedir o envio,FAILED,Link do jira,ALTA
MUN-12,TC011,Mensagem de sucesso após cadastro,Usuário autenticado,"1. Preencher todos os campos corretamente
2. Clicar em Salvar","Após sucesso, deve exibir “Loja cadastrada com sucesso” e redirecionar para a tela de perfil da loja",PASSED,,Média
MUN-12,TC0014,Validação de CNPJ com máscara e sem máscara,Usuário autenticado,"1. Inserir CNPJ com máscara “12.345.678/0001-90”
2. Inserir CNPJ sem máscara “12345678000190”
3. Clicar em Salvar",O sistema deve aceitar ambos ou normalizar o formato automaticamente,NÃO EXECUTADO,,Média
MUN-12,TC0015,E-mail duplicado entre lojas,Usuário autenticado,"1. Cadastrar uma loja com e-mail comercial válido
2. Tentar cadastrar nova loja com o mesmo e-mail",O sistema deve exibir mensagem “E-mail já cadastrado”,PASSED,Link do jira,Média
MUN-12,TC0016,Campos com espaços extras,Usuário autenticado,"1. Inserir valores com espaços antes e depois (ex: “ Loja Exemplo ”)
2. Clicar em Salvar",O sistema deve limpar os espaços e aceitar o dado,PASSED,Link do jira,Média
MUN-12,TC0023,Dados salvos corretamente no banco,Usuário autenticado,"1. Cadastrar loja normalmente
2. Consultar API ou banco
3. Verificar persistência dos dados",Os dados inseridos devem estar salvos corretamente no banco,PASSED,,Média
